Taille,1230498
Ungramme,"Ê",2
Ungramme,"Î",1
Ungramme,"Ø",2
Ungramme,"ß",1
Ungramme,"à",4043
Ungramme,"á",1
Ungramme,"â",391
Ungramme,"ã",1
Ungramme,"ä",6
Ungramme,"å",1
Ungramme,"ç",485
Ungramme,"è",3340
Ungramme,"é",20866
Ungramme,"ê",1182
Ungramme,"ë",37
Ungramme,"í",4
Ungramme,"î",303
Ungramme,"ï",75
Ungramme,"ó",1
Ungramme,"ô",439
Ungramme,"ö",21
Ungramme,"ø",1
Ungramme,"ù",181
Ungramme,"ú",1
Ungramme,"û",174
Ungramme,"ü",18
Bigramme,"		",8
Bigramme,"	
",11
Bigramme,"ďa",2
Bigramme,"	“",4
Bigramme,"	!",7
Bigramme,"	•",24
Bigramme,"	""",115
Bigramme,"	…",2
Bigramme,"	(",5
Bigramme,"

",317
Bigramme,"	1",9
Bigramme,"	3",1
Bigramme,"	4",1
Bigramme,"	5",2
Bigramme,"	7",1
Bigramme,"	8",1
Bigramme,"	;",3
Bigramme,"
 ",345
Bigramme,"	?",2
Bigramme,"	@",1
Bigramme,"	A",699
Bigramme,"	B",194
Bigramme,"	C",1055
Bigramme,"	D",627
Bigramme,"	E",701
Bigramme,"	F",117
Bigramme,"
(",9
Bigramme,"	G",60
Bigramme,"	H",40
Bigramme,"	I",600
Bigramme,"
*",1
Bigramme,"	J",317
Bigramme,"	K",9
Bigramme,"	L",2056
Bigramme,"	M",337
Bigramme,"	N",379
Bigramme,"	O",196
Bigramme,"
1",1119
Bigramme,"	P",618
Bigramme,"
2",1115
Bigramme,"	Q",101
Bigramme,"	R",154
Bigramme," S",1
Bigramme,"
3",1111
Bigramme,"	S",477
Bigramme,"
4",1111
Bigramme,"
5",1112
Bigramme,"	T",280
Bigramme,"
6",1112
Bigramme,"	U",335
Bigramme,"
7",1111
Bigramme,"	V",347
Bigramme,"	W",7
Bigramme,"
8",1111
Bigramme,"
9",1111
Bigramme,"	Y",7
Bigramme,"	Z",4
Bigramme,"
A",20
Bigramme,"
B",18
Bigramme,"
C",34
Bigramme,"
D",18
Bigramme,"
E",16
Bigramme,"
F",1
Bigramme,"
G",5
Bigramme,"
H",8
Bigramme,"
I",7
Bigramme,"
K",3
Bigramme,"
L",28
Bigramme,"
M",18
Bigramme,"
N",16
Bigramme,"
O",11
Bigramme,"
P",35
Bigramme,"
Q",1
Bigramme,"
R",8
Bigramme,"
S",20
Bigramme,"
T",8
Bigramme,"
U",4
Bigramme,"
V",9
Bigramme,"
W",7
Bigramme,"
Z",1
Bigramme,"
[",7
Bigramme,"
c",1
Bigramme,"
h",1
Bigramme,"
m",5
Bigramme,"
o",1
Bigramme,"
t",1
Bigramme,"
u",1
Bigramme,"
v",6
Bigramme,"
w",1
Bigramme,"	¨",1
Bigramme,"	«",105
Bigramme,"	°",1
Bigramme,"	·",6
Bigramme,"	»",19
Bigramme,"	À",20
Bigramme,"	Ç",4
Bigramme,"	É",16
Bigramme,"
«",7
Bigramme,"	Ê",2
Bigramme,"
É",3
Bigramme,"– ",20
Bigramme,"
Œ",2
Bigramme,"— ",8
Bigramme,"–o",1
Bigramme,"’ ",6
Bigramme,"’.",2
Bigramme,"™ ",4
Bigramme,"‘a",2
Bigramme,"’A",65
Bigramme,"’H",6
Bigramme,"‘f",1
Bigramme,"‘e",1
Bigramme,"™,",1
Bigramme,"’E",40
Bigramme,"’I",14
Bigramme,"’O",19
Bigramme,"‘u",2
Bigramme,"’U",13
Bigramme,"’a",585
Bigramme,"’h",106
Bigramme,"’e",385
Bigramme,"’i",219
Bigramme,"’o",155
Bigramme,"’s",4
Bigramme,"’u",251
Bigramme,"’y",13
Bigramme,"”
",2
Bigramme,"” ",3
Bigramme,"“C",4
Bigramme,"“D",1
Bigramme,"”,",1
Bigramme,"”.",5
Bigramme,"“L",1
Bigramme,"“V",1
Bigramme,"“T",1
Bigramme,"“j",1
Bigramme,"‘é",4
Bigramme,"’É",7
Bigramme,"“l",2
Bigramme,"’à",20
Bigramme,"”h",1
Bigramme," 	",73
Bigramme," 
",16
Bigramme,"’â",5
Bigramme,"’è",1
Bigramme,"’ê",15
Bigramme,"’é",166
Bigramme," –",21
Bigramme," —",7
Bigramme,"’î",1
Bigramme," ‘",2
Bigramme," ’",1
Bigramme," “",7
Bigramme," ”",1
Bigramme,"  ",1086
Bigramme," †",7
Bigramme," !",2
Bigramme," """,514
Bigramme," •",5
Bigramme,"† ",1
Bigramme," $",17
Bigramme," %",41
Bigramme," &",44
Bigramme," …",12
Bigramme," '",13
Bigramme," (",1216
Bigramme,"!
",150
Bigramme," )",29
Bigramme," *",34
Bigramme," +",23
Bigramme," ,",1
Bigramme," -",242
Bigramme," /",97
Bigramme," 0",104
Bigramme," 1",1258
Bigramme," 2",1043
Bigramme,"†1",8
Bigramme," 3",330
Bigramme," 4",176
Bigramme," 5",163
Bigramme," 6",121
Bigramme," 7",157
Bigramme," 8",116
Bigramme," 9",101
Bigramme," :",806
Bigramme," ;",86
Bigramme," <",3
Bigramme," >",3
Bigramme," ?",4
Bigramme,"! ",9
Bigramme," @",12
Bigramme," A",679
Bigramme,"!""",10
Bigramme," B",808
Bigramme," C",1314
Bigramme," D",602
Bigramme," E",388
Bigramme," F",631
Bigramme," G",492
Bigramme," H",318
Bigramme,"""
",89
Bigramme,"!)",4
Bigramme," I",336
Bigramme," J",392
Bigramme," K",198
Bigramme,"•
",1
Bigramme," L",988
Bigramme," M",1046
Bigramme," N",356
Bigramme," O",146
Bigramme," P",937
Bigramme," Q",68
Bigramme," R",549
Bigramme,"""—",1
Bigramme," S",1015
Bigramme," T",543
Bigramme," U",115
Bigramme," V",385
Bigramme," W",200
Bigramme," X",101
Bigramme," Y",50
Bigramme," Z",43
Bigramme," [",44
Bigramme,"• ",28
Bigramme,""" ",308
Bigramme,"""!",3
Bigramme," `",1
Bigramme,"""""",1
Bigramme," a",9823
Bigramme," b",2474
Bigramme," c",11005
Bigramme," d",25950
Bigramme," e",11599
Bigramme," f",4159
Bigramme,"""(",2
Bigramme," g",1743
Bigramme,""")",7
Bigramme," h",937
Bigramme," i",2755
Bigramme," j",1801
Bigramme,""",",106
Bigramme," k",102
Bigramme,"""-",1
Bigramme," l",17585
Bigramme,""".",138
Bigramme," m",6022
Bigramme,"""/",1
Bigramme," n",3889
Bigramme," o",2593
Bigramme,"""1",1
Bigramme," p",15037
Bigramme," q",3794
Bigramme," r",4981
Bigramme," s",12012
Bigramme,"""5",1
Bigramme," t",5238
Bigramme,"!U",1
Bigramme," u",3873
Bigramme," v",5109
Bigramme,"""8",1
Bigramme," w",85
Bigramme," x",16
Bigramme,""":",1
Bigramme," y",157
Bigramme,"’œ",7
Bigramme," z",62
Bigramme," |",4
Bigramme," ~",6
Bigramme,"""A",26
Bigramme,"!a",1
Bigramme,"""B",9
Bigramme,"""C",35
Bigramme,"""D",15
Bigramme,"""E",9
Bigramme,"""F",10
Bigramme,"""G",8
Bigramme,"""H",5
Bigramme,"""I",10
Bigramme,"""J",5
Bigramme,"""K",2
Bigramme,"""L",52
Bigramme,"""M",25
Bigramme,"""N",9
Bigramme,"""O",13
Bigramme,"""P",21
Bigramme,"""Q",2
Bigramme,"""R",7
Bigramme,"""S",11
Bigramme,"""T",13
Bigramme,"""U",4
Bigramme,"""V",14
Bigramme,"""W",1
Bigramme,"""Y",2
Bigramme,"""Z",3
Bigramme,"$ ",7
Bigramme,"""a",12
Bigramme,"""b",10
Bigramme,"$$",2
Bigramme,"""c",23
Bigramme,"""d",17
Bigramme,"""e",6
Bigramme,"""f",3
Bigramme,"""g",3
Bigramme,"$)",1
Bigramme,"""h",4
Bigramme,"""i",7
Bigramme," §",1
Bigramme,"$,",7
Bigramme,"""j",4
Bigramme," ©",1
Bigramme,"""l",26
Bigramme,"$.",3
Bigramme," «",286
Bigramme,"""m",15
Bigramme," €",36
Bigramme,"""n",4
Bigramme,"""o",5
Bigramme,"""p",18
Bigramme,"""q",2
Bigramme,"""r",14
Bigramme," °",1
Bigramme,"""s",19
Bigramme,"""t",8
Bigramme,"""u",5
Bigramme,"""v",3
Bigramme," µ",1
Bigramme," ·",7
Bigramme," »",282
Bigramme,"% ",90
Bigramme," À",11
Bigramme," Â",2
Bigramme,"%)",5
Bigramme,"…
",18
Bigramme," Ç",2
Bigramme,"%,",2
Bigramme," É",44
Bigramme,"%.",11
Bigramme,"%;",2
Bigramme," Ø",2
Bigramme,"… ",31
Bigramme,"& ",44
Bigramme,"!»",2
Bigramme," à",3693
Bigramme,"…)",9
Bigramme," â",42
Bigramme,"'
",2
Bigramme,"…,",1
Bigramme," ç",84
Bigramme," è",11
Bigramme," é",2152
Bigramme," ê",304
Bigramme,"….",4
Bigramme,"&1",1
Bigramme," î",9
Bigramme,"$v",3
Bigramme," ô",2
Bigramme,"' ",68
Bigramme,"'""",6
Bigramme,"&B",1
Bigramme,"&C",1
Bigramme,"""À",1
Bigramme,"…C",1
Bigramme,"''",7
Bigramme,"',",1
Bigramme,"'.",2
Bigramme,"&M",1
Bigramme,"'0",1
Bigramme,"&P",1
Bigramme,"'2",1
Bigramme,"&S",1
Bigramme," ď",2
Bigramme,"':",1
Bigramme,"( ",36
Bigramme,"(†",2
Bigramme,"(!",2
Bigramme,"(""",3
Bigramme,"'A",248
Bigramme,"'B",1
Bigramme,"'C",2
Bigramme,"…e",1
Bigramme,"'E",118
Bigramme,"""à",4
Bigramme,") ",1
Bigramme,"'G",1
Bigramme,"'H",32
Bigramme,")
",52
Bigramme,"()",1
Bigramme,"'I",59
Bigramme,"(*",2
Bigramme," ™",1
Bigramme,"(-",3
Bigramme,"(.",14
Bigramme,"'M",2
Bigramme,"""é",2
Bigramme,"'O",51
Bigramme,"(0",8
Bigramme,"(1",70
Bigramme,"'P",1
Bigramme,"(2",27
Bigramme,"…o",1
Bigramme,"(3",22
Bigramme,"'R",1
Bigramme,"(4",12
Bigramme,"&r",1
Bigramme,"(5",13
Bigramme,"'T",5
Bigramme,"&s",1
Bigramme,"'U",34
Bigramme,"(6",9
Bigramme,"(7",3
Bigramme,"(8",9
Bigramme,"'W",1
Bigramme,"(9",2
Bigramme,"'Y",3
Bigramme,") ",594
Bigramme,"(?",3
Bigramme,"(A",19
Bigramme,"'a",2003
Bigramme,"(B",14
Bigramme,"(C",24
Bigramme,"'b",1
Bigramme,"'c",5
Bigramme,"(D",13
Bigramme,"(E",16
Bigramme,")…",1
Bigramme,"'e",1441
Bigramme,"(F",8
Bigramme," ľ",1
Bigramme,")(",6
Bigramme,"(G",9
Bigramme,"(H",8
Bigramme,"))",3
Bigramme,")*",3
Bigramme,"(I",38
Bigramme,"'h",292
Bigramme,"'i",732
Bigramme,"(J",3
Bigramme,"),",178
Bigramme,"(K",3
Bigramme,"(L",12
Bigramme,"(M",17
Bigramme,").",371
Bigramme,"'l",2
Bigramme,")/",1
Bigramme,"'m",2
Bigramme,"(N",6
Bigramme,"(O",3
Bigramme,"(P",32
Bigramme,"'o",440
Bigramme,"(Q",1
Bigramme,")3",1
Bigramme,"(R",12
Bigramme,"(S",125
Bigramme,"'r",2
Bigramme,")4",1
Bigramme,"'s",8
Bigramme,"(T",10
Bigramme,")5",1
Bigramme,"(U",9
Bigramme,"'t",3
Bigramme,"'u",879
Bigramme,"(V",8
Bigramme,"'v",1
Bigramme,"(X",4
Bigramme,"(Y",1
Bigramme,"):",4
Bigramme,"'y",61
Bigramme,");",1
Bigramme," œ",36
Bigramme,"'z",1
Bigramme,"* ",35
Bigramme,")A",1
Bigramme,"(a",38
Bigramme,"(b",18
Bigramme,")C",1
Bigramme,"(c",79
Bigramme,")D",1
Bigramme,"(d",50
Bigramme,"(e",50
Bigramme,"(f",11
Bigramme,"(g",15
Bigramme,"*)",1
Bigramme,"(h",6
Bigramme,"**",2
Bigramme,"(i",15
Bigramme,"(j",9
Bigramme,"(k",2
Bigramme,")L",1
Bigramme,"(l",47
Bigramme,"*.",1
Bigramme,"(m",27
Bigramme,"(n",17
Bigramme,"(o",33
Bigramme,"*1",1
Bigramme,"(p",52
Bigramme,"(q",8
Bigramme,")S",1
Bigramme,"(r",14
Bigramme,"(s",65
Bigramme,")T",1
Bigramme,"(t",29
Bigramme,"*6",1
Bigramme,"(u",12
Bigramme,"(v",19
Bigramme,"(w",1
Bigramme,"(x",1
Bigramme,"(y",1
Bigramme,"+ ",21
Bigramme,")b",1
Bigramme,"++",2
Bigramme,")i",1
Bigramme,"+.",2
Bigramme,"'«",1
Bigramme,"+2",1
Bigramme,"+3",5
Bigramme,"+5",1
Bigramme,")s",2
Bigramme,"*V",1
Bigramme,", ",10198
Bigramme,",""",1
Bigramme,"+B",1
Bigramme,"+C",1
Bigramme,",…",1
Bigramme,"-
",3
Bigramme,"*i",1
Bigramme,",-",1
Bigramme,"'É",21
Bigramme,",.",6
Bigramme,"(«",5
Bigramme,",0",5
Bigramme,",1",4
Bigramme,",2",14
Bigramme,",3",13
Bigramme,"'Î",1
Bigramme,",4",6
Bigramme,"(°",8
Bigramme,",5",27
Bigramme,",6",6
Bigramme,",7",8
Bigramme,",8",8
Bigramme,",9",3
Bigramme,"+]",6
Bigramme,"- ",246
Bigramme,"+a",1
Bigramme,"'à",76
Bigramme,"'â",24
Bigramme,".
",9748
Bigramme,"-)",7
Bigramme,"-,",6
Bigramme,"+j",1
Bigramme,"--",1
Bigramme,"'è",3
Bigramme,"'é",554
Bigramme,"-0",16
Bigramme,"'ê",45
Bigramme,"-1",47
Bigramme,"-2",62
Bigramme,"-3",15
Bigramme,"-4",14
Bigramme,"'î",12
Bigramme,"-5",20
Bigramme,"-6",16
Bigramme,"-7",25
Bigramme,"-8",20
Bigramme,"-9",15
Bigramme,".”",1
Bigramme,". ",373
Bigramme,"-A",30
Bigramme,".""",39
Bigramme,"-B",39
Bigramme,",a",1
Bigramme,"-C",50
Bigramme,"-D",12
Bigramme,",c",1
Bigramme,"(à",10
Bigramme,"-E",13
Bigramme,",d",3
Bigramme,"-F",26
Bigramme,",e",1
Bigramme,".(",1
Bigramme,"-G",22
Bigramme,"(â",1
Bigramme,",f",1
Bigramme,".)",16
Bigramme,"-H",12
Bigramme,",g",1
Bigramme,"-I",5
Bigramme,",h",1
Bigramme,"-J",14
Bigramme,",i",1
Bigramme,".,",23
Bigramme,",j",3
Bigramme,"-K",4
Bigramme,"-L",29
Bigramme,".-",4
Bigramme,"-M",69
Bigramme,"..",6
Bigramme,")É",1
Bigramme,",l",6
Bigramme,"(é",6
Bigramme,"-N",10
Bigramme,",m",3
Bigramme,".0",30
Bigramme,"-O",8
Bigramme,",n",1
Bigramme,".1",12
Bigramme,"-P",30
Bigramme,",o",2
Bigramme,".2",13
Bigramme,",p",4
Bigramme,"-Q",6
Bigramme,".3",8
Bigramme,"-R",24
Bigramme,"-S",31
Bigramme,".4",6
Bigramme,"-T",11
Bigramme,".5",7
Bigramme,"-U",33
Bigramme,".6",5
Bigramme,",t",3
Bigramme,"-V",11
Bigramme,",u",2
Bigramme,".7",1
Bigramme,"-W",4
Bigramme,",v",1
Bigramme,".8",3
Bigramme,"-X",2
Bigramme,"-Y",6
Bigramme,"-Z",4
Bigramme,"/ ",100
Bigramme,".A",8
Bigramme,"-a",31
Bigramme,".B",4
Bigramme,"-b",30
Bigramme,".C",12
Bigramme,"-c",150
Bigramme,".D",3
Bigramme,"-d",101
Bigramme,".E",4
Bigramme,"-e",64
Bigramme,".F",5
Bigramme,"0	",1000
Bigramme,"-f",44
Bigramme,".G",5
Bigramme,"0
",1
Bigramme,"-g",6
Bigramme,".H",2
Bigramme,"-h",22
Bigramme,".I",2
Bigramme,"-i",57
Bigramme,".J",1
Bigramme,"-j",14
Bigramme,".K",1
Bigramme,".L",5
Bigramme,"-l",64
Bigramme,".M",5
Bigramme,"-m",115
Bigramme,"//",26
Bigramme,".N",3
Bigramme,"-n",27
Bigramme,"/0",21
Bigramme,".O",5
Bigramme,"/1",14
Bigramme,"-o",22
Bigramme,".P",6
Bigramme,"/2",73
Bigramme,"-p",47
Bigramme,".Q",1
Bigramme,"/3",4
Bigramme,".R",6
Bigramme,"-q",5
Bigramme,"/4",5
Bigramme,"-r",24
Bigramme,".S",5
Bigramme,"-s",45
Bigramme,".T",3
Bigramme,"/5",2
Bigramme,"-t",65
Bigramme,".U",2
Bigramme," :",6
Bigramme,"/7",56
Bigramme,".V",8
Bigramme,"-u",7
Bigramme,"-v",98
Bigramme,"/8",1
Bigramme,"0’",1
Bigramme,"-w",2
Bigramme,".X",2
Bigramme,".Y",1
Bigramme,"-y",3
Bigramme,"-z",1
Bigramme,"0 ",611
Bigramme,"0!",2
Bigramme,"/A",5
Bigramme,"0""",1
Bigramme,".a",5
Bigramme,"/B",1
Bigramme,".b",11
Bigramme,"/C",4
Bigramme,"0$",1
Bigramme,".c",16
Bigramme,"0%",32
Bigramme,"/D",1
Bigramme,".d",3
Bigramme,"/E",4
Bigramme,"/F",1
Bigramme,"0'",2
Bigramme,".e",4
Bigramme,".f",24
Bigramme,"1	",1000
Bigramme,"1
",3
Bigramme,"0)",24
Bigramme,".g",2
Bigramme,"/H",2
Bigramme,"0*",1
Bigramme,".h",3
Bigramme,"0,",78
Bigramme,".j",1
Bigramme,".k",1
Bigramme,"0-",22
Bigramme,"/L",4
Bigramme,"0.",74
Bigramme,"/M",3
Bigramme,"0/",7
Bigramme,".m",1
Bigramme,"/N",1
Bigramme,"00",782
Bigramme,".n",2
Bigramme,"01",479
Bigramme,"/P",5
Bigramme,".o",3
Bigramme,"02",247
Bigramme,".p",3
Bigramme,"03",235
Bigramme,"04",231
Bigramme,".r",1
Bigramme,"/S",1
Bigramme,"05",220
Bigramme,"/T",1
Bigramme,".s",3
Bigramme,"06",243
Bigramme,".t",3
Bigramme,"/U",1
Bigramme,"07",227
Bigramme,"08",243
Bigramme,".v",1
Bigramme,"09",231
Bigramme,".x",1
Bigramme,"0:",1
Bigramme,"'œ",8
Bigramme,"1 ",220
Bigramme,"0?",1
Bigramme,"1""",2
Bigramme,"/a",7
Bigramme,"0B",1
Bigramme,"0C",3
Bigramme,"/b",1
Bigramme,"/c",8
Bigramme,"1%",4
Bigramme,"0D",1
Bigramme,"1&",1
Bigramme,"/d",1
Bigramme,"0E",1
Bigramme,"0F",1
Bigramme,"/e",2
Bigramme,"1(",6
Bigramme,"2	",1000
Bigramme,"/f",1
Bigramme,"2
",4
Bigramme,"1)",31
Bigramme,"/g",1
Bigramme,"/h",4
Bigramme,"/i",1
Bigramme,"1+",1
Bigramme,"1,",57
Bigramme,"/j",1
Bigramme,"1-",23
Bigramme,"/k",3
Bigramme,"0L",2
Bigramme,"1.",61
Bigramme,"/l",5
Bigramme,"1/",20
Bigramme,"/m",7
Bigramme,"10",516
Bigramme,"-€",1
Bigramme,"/n",1
Bigramme,"11",435
Bigramme,"/o",11
Bigramme,"12",490
Bigramme,"/p",3
Bigramme,"13",416
Bigramme,"14",405
Bigramme,"/r",2
Bigramme,"15",415
Bigramme,"/s",1
Bigramme,"16",393
Bigramme,"/t",2
Bigramme,"17",386
Bigramme,"/u",2
Bigramme,"18",443
Bigramme,"/v",2
Bigramme,"0W",1
Bigramme,"19",721
Bigramme,"/w",7
Bigramme,"1:",6
Bigramme,"/y",1
Bigramme,"′ ",4
Bigramme,"2 ",321
Bigramme,"2!",1
Bigramme,"0a",1
Bigramme,"0b",2
Bigramme,"1C",1
Bigramme,"2%",4
Bigramme,"0c",6
Bigramme,"1D",2
Bigramme,",à",1
Bigramme,"0d",1
Bigramme,"0e",8
Bigramme,"3	",1000
Bigramme,"2)",18
Bigramme,"3
",2
Bigramme,"1H",1
Bigramme,"0h",9
Bigramme,"2,",58
Bigramme,"2-",53
Bigramme,"0k",2
Bigramme,"2.",60
Bigramme,"-É",2
Bigramme,"0m",15
Bigramme,"2/",5
Bigramme,"20",938
Bigramme,"0n",2
Bigramme,"21",356
Bigramme,"22",371
Bigramme,"23",346
Bigramme,"2″",2
Bigramme,"24",474
Bigramme,"25",365
Bigramme,"1T",1
Bigramme,"26",337
Bigramme,"27",328
Bigramme,"28",330
Bigramme,"29",331
Bigramme,"2:",4
Bigramme,"0x",6
Bigramme,"2;",1
Bigramme,"1]",1
Bigramme,"3 ",268
Bigramme,".»",23
Bigramme,"″ ",4
Bigramme,"2A",1
Bigramme,"2C",3
Bigramme,"2D",1
Bigramme,"3%",3
Bigramme,"1c",1
Bigramme,"-à",14
Bigramme,"2E",1
Bigramme,"1e",44
Bigramme,"3'",1
Bigramme,"4	",1000
Bigramme,"-â",4
Bigramme,"3)",29
Bigramme,"4
",4
Bigramme,"1h",11
Bigramme,"2I",1
Bigramme,"3+",1
Bigramme,"3,",50
Bigramme,"2K",2
Bigramme,"3-",20
Bigramme,"3.",56
Bigramme,"-é",11
Bigramme,"1m",3
Bigramme,"3/",5
Bigramme,"30",450
Bigramme,"-ê",33
Bigramme,"31",324
Bigramme,"1o",1
Bigramme,"2P",1
Bigramme,"32",324
Bigramme,"33",322
Bigramme,"2R",1
Bigramme,"34",312
Bigramme,"2S",1
Bigramme,"35",330
Bigramme,"36",331
Bigramme,"37",320
Bigramme,"2V",1
Bigramme,"38",314
Bigramme,"2W",1
Bigramme,"39",323
Bigramme,"3:",2
Bigramme,"2]",1
Bigramme,"4 ",255
Bigramme,"4""",1
Bigramme,"3A",1
Bigramme,"2a",3
Bigramme,"3C",1
Bigramme,"3D",4
Bigramme,"4%",2
Bigramme,"2c",1
Bigramme,"2d",1
Bigramme,"2e",10
Bigramme,"5	",1000
Bigramme,"3G",1
Bigramme,"5
",2
Bigramme,"4)",21
Bigramme,"2h",13
Bigramme,"2i",2
Bigramme,"4,",49
Bigramme,"3K",1
Bigramme,"4-",23
Bigramme,"3L",1
Bigramme,"2k",2
Bigramme,"4.",28
Bigramme,"3N",1
Bigramme,"4/",5
Bigramme,"2m",2
Bigramme,"40",363
Bigramme,"0€",6
Bigramme,"2n",1
Bigramme,"41",318
Bigramme,"4′",2
Bigramme,"42",320
Bigramme,"2p",2
Bigramme,"♦ ",1
Bigramme,"43",328
Bigramme,"4″",2
Bigramme,"0°",5
Bigramme,"44",317
Bigramme,"2r",1
Bigramme,"45",334
Bigramme,"46",314
Bigramme,"47",312
Bigramme,"48",322
Bigramme,"49",314
Bigramme,"3X",1
Bigramme,"4:",3
Bigramme,"2x",1
Bigramme,"3]",1
Bigramme,"5 ",272
Bigramme,"3a",1
Bigramme,"4C",2
Bigramme,"5%",15
Bigramme,"3c",2
Bigramme,"3e",18
Bigramme,"6	",1000
Bigramme,"3f",1
Bigramme,"4G",1
Bigramme,"6
",3
Bigramme,"5)",22
Bigramme,"4H",1
Bigramme,"3h",6
Bigramme,"5,",38
Bigramme,"3j",1
Bigramme,"5-",16
Bigramme,"5.",30
Bigramme,"/é",3
Bigramme,"3m",1
Bigramme,"5/",4
Bigramme,"50",423
Bigramme,"1€",6
Bigramme,"51",317
Bigramme,"52",319
Bigramme,"53",309
Bigramme,"54",316
Bigramme,"1°",2
Bigramme,"3r",1
Bigramme,"55",315
Bigramme,"56",310
Bigramme,"57",310
Bigramme,"58",312
Bigramme,"59",316
Bigramme,"4]",1
Bigramme,"6 ",175
Bigramme,"5?",1
Bigramme,"5A",2
Bigramme,"6""",1
Bigramme,"5D",1
Bigramme,"6%",3
Bigramme,"4c",1
Bigramme,"4e",5
Bigramme,"5F",1
Bigramme,"7	",1000
Bigramme,"6(",1
Bigramme,"7
",3
Bigramme,"6)",23
Bigramme,"4h",62
Bigramme,"5J",1
Bigramme,"6,",37
Bigramme,"6-",18
Bigramme,"6.",24
Bigramme,"0è",3
Bigramme,"6/",4
Bigramme,"5N",1
Bigramme,"4m",1
Bigramme,"60",345
Bigramme,"61",316
Bigramme,"62",314
Bigramme,"63",319
Bigramme,"64",324
Bigramme,"2°",2
Bigramme,"65",333
Bigramme,"66",321
Bigramme,"67",317
Bigramme,"5V",1
Bigramme,"68",310
Bigramme,"7’",1
Bigramme,"69",312
Bigramme,"6:",1
Bigramme,"5Z",1
Bigramme,"7 ",160
Bigramme,"6C",1
Bigramme,"5c",3
Bigramme,"7%",2
Bigramme,"6D",1
Bigramme,"5e",12
Bigramme,"8	",1000
Bigramme,"7)",16
Bigramme,"5h",4
Bigramme,"7,",31
Bigramme,"7-",19
Bigramme,"6L",1
Bigramme,"5k",2
Bigramme,"7.",42
Bigramme,"1è",15
Bigramme,"7/",11
Bigramme,"6N",1
Bigramme,"5m",7
Bigramme,"70",346
Bigramme,"3€",1
Bigramme,"71",308
Bigramme,"7′",2
Bigramme,"72",322
Bigramme,"73",317
Bigramme,"74",313
Bigramme,"75",331
Bigramme,"76",314
Bigramme,"5t",1
Bigramme,"77",315
